========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:1
ITL Configuration:
	weighting: ITL
	task_idx: 1
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-07
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 4.1965 0.0145 | 4.7019 0.0213 | 4.1894 0.0114 | 4.2032 0.0137 | Time: 117.6301 | VAL: 4.1697 0.0366 | 22.0075 0.0296 | 4.2125 0.0221 | 4.2095 0.0130 | Time: 32.3578 | TEST: 4.1985 0.0304 | 22.4538 0.0325 | 4.2184 0.0212 | 4.1908 0.0184 | Time: 33.0001
Epoch: 0001 | TRAIN: 4.1736 0.0194 | 4.4275 0.0236 | 4.1743 0.0171 | 4.1742 0.0164 | Time: 117.6505 | VAL: 4.1745 0.0172 | 5.6891 0.0355 | 4.1743 0.0105 | 4.1745 0.0118 | Time: 31.9756 | TEST: 4.1744 0.0171 | 5.9625 0.0314 | 4.1741 0.0074 | 4.1744 0.0162 | Time: 33.5360
Epoch: 0002 | TRAIN: 4.1744 0.0221 | 4.3961 0.0282 | 4.1744 0.0152 | 4.1744 0.0126 | Time: 118.8901 | VAL: 4.1744 0.0172 | 10.0125 0.0225 | 4.1744 0.0221 | 4.1744 0.0071 | Time: 32.6470 | TEST: 4.1744 0.0152 | 11.0235 0.0238 | 4.1744 0.0222 | 4.1744 0.0076 | Time: 34.0585
Epoch: 0003 | TRAIN: 4.1744 0.0091 | 4.3182 0.0377 | 4.1744 0.0122 | 4.1744 0.0107 | Time: 116.5522 | VAL: 4.1744 0.0172 | 6.4296 0.0473 | 4.1744 0.0105 | 4.1744 0.0142 | Time: 32.7482 | TEST: 4.1744 0.0247 | 7.0225 0.0368 | 4.1744 0.0085 | 4.1744 0.0108 | Time: 33.2321
Epoch: 0004 | TRAIN: 4.1744 0.0171 | 4.2020 0.0408 | 4.1744 0.0160 | 4.1744 0.0145 | Time: 117.2718 | VAL: 4.1744 0.0237 | 20.0547 0.0296 | 4.1744 0.0244 | 4.1744 0.0071 | Time: 30.6783 | TEST: 4.1744 0.0171 | 26.4472 0.0314 | 4.1744 0.0233 | 4.1744 0.0076 | Time: 33.0657
Epoch: 0005 | TRAIN: 4.1744 0.0152 | 4.1811 0.0431 | 4.1744 0.0126 | 4.1744 0.0126 | Time: 116.9028 | VAL: 4.1744 0.0108 | 12.5249 0.0378 | 4.1744 0.0209 | 4.1744 0.0154 | Time: 32.1174 | TEST: 4.1744 0.0057 | 15.6652 0.0455 | 4.1744 0.0148 | 4.1744 0.0119 | Time: 33.0268
Epoch: 0006 | TRAIN: 4.1744 0.0103 | 4.1206 0.0492 | 4.1744 0.0130 | 4.1744 0.0137 | Time: 117.2937 | VAL: 4.1744 0.0086 | 9.6542 0.0473 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.2892 | TEST: 4.1744 0.0076 | 10.2532 0.0531 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.0180
Epoch: 0007 | TRAIN: 4.1744 0.0084 | 4.0417 0.0534 | 4.1744 0.0194 | 4.1744 0.0141 | Time: 118.1855 | VAL: 4.1744 0.0108 | 9.7525 0.0461 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.0721 | TEST: 4.1744 0.0076 | 10.5980 0.0455 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 31.6666
Epoch: 0008 | TRAIN: 4.1744 0.0080 | 3.9600 0.0595 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 117.2358 | VAL: 4.1744 0.0086 | 8.5779 0.0520 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.4985 | TEST: 4.1744 0.0076 | 9.3082 0.0379 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.2010
Epoch: 0009 | TRAIN: 4.1744 0.0099 | 3.9209 0.0553 | 4.1744 0.0183 | 4.1744 0.0171 | Time: 115.3483 | VAL: 4.1744 0.0086 | 8.3368 0.0508 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.8412 | TEST: 4.1744 0.0076 | 9.4061 0.0574 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.5137
Epoch: 0010 | TRAIN: 4.1744 0.0069 | 3.8399 0.0697 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 113.7704 | VAL: 4.1744 0.0086 | 11.7169 0.0532 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.4853 | TEST: 4.1744 0.0076 | 13.3230 0.0607 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.5949
Epoch: 0011 | TRAIN: 4.1744 0.0091 | 3.8312 0.0747 | 4.1744 0.0183 | 4.1744 0.0145 | Time: 114.4358 | VAL: 4.1744 0.0086 | 6.5743 0.0449 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 34.4178 | TEST: 4.1744 0.0076 | 6.7839 0.0488 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.3027
Epoch: 0012 | TRAIN: 4.1744 0.0088 | 3.7411 0.0869 | 4.1744 0.0183 | 4.1744 0.0168 | Time: 115.0488 | VAL: 4.1744 0.0086 | 12.4845 0.0697 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 31.8123 | TEST: 4.1744 0.0076 | 13.0715 0.0813 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.0893
Epoch: 0013 | TRAIN: 4.1744 0.0080 | 3.7147 0.0873 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 117.0116 | VAL: 4.1744 0.0086 | 32.1256 0.0473 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.9389 | TEST: 4.1744 0.0076 | 37.1497 0.0455 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.4417
Epoch: 0014 | TRAIN: 4.1744 0.0080 | 3.6385 0.0888 | 4.1744 0.0183 | 4.1744 0.0137 | Time: 113.5157 | VAL: 4.1744 0.0086 | 11.0132 0.0414 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.8144 | TEST: 4.1744 0.0076 | 12.8159 0.0444 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.0751
Epoch: 0015 | TRAIN: 4.1744 0.0091 | 3.5892 0.1029 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 114.5547 | VAL: 4.1744 0.0086 | 5.7128 0.0863 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.7998 | TEST: 4.1744 0.0076 | 6.0985 0.0813 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.5072
Epoch: 0016 | TRAIN: 4.1744 0.0080 | 3.5519 0.1166 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 116.8969 | VAL: 4.1744 0.0086 | 12.6739 0.0851 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.8688 | TEST: 4.1744 0.0076 | 21.1048 0.0878 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.2771
Epoch: 0017 | TRAIN: 4.1744 0.0088 | 3.4553 0.1361 | 4.1744 0.0179 | 4.1744 0.0175 | Time: 116.4810 | VAL: 4.1744 0.0086 | 4.3890 0.0946 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.0111 | TEST: 4.1744 0.0076 | 4.8711 0.1094 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.4511
Epoch: 0018 | TRAIN: 4.1744 0.0080 | 3.3806 0.1475 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 117.5563 | VAL: 4.1744 0.0086 | 4.4024 0.0898 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.1691 | TEST: 4.1744 0.0076 | 4.8134 0.1008 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.5896
Epoch: 0019 | TRAIN: 4.1744 0.0084 | 3.3571 0.1502 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 115.1772 | VAL: 4.1744 0.0086 | 4.1792 0.1430 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.4299 | TEST: 4.1744 0.0076 | 6.1500 0.1538 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.1194
Epoch: 0020 | TRAIN: 4.1744 0.0088 | 3.2291 0.1795 | 4.1744 0.0183 | 4.1744 0.0168 | Time: 118.8012 | VAL: 4.1744 0.0086 | 6.0423 0.1265 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.9174 | TEST: 4.1744 0.0076 | 6.0018 0.1094 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.7164
Epoch: 0021 | TRAIN: 4.1744 0.0084 | 3.1592 0.1856 | 4.1744 0.0179 | 4.1744 0.0164 | Time: 115.8990 | VAL: 4.1744 0.0086 | 4.5992 0.1572 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.6865 | TEST: 4.1744 0.0076 | 4.5419 0.1636 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.1183
Epoch: 0022 | TRAIN: 4.1744 0.0084 | 3.0323 0.2268 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 118.1302 | VAL: 4.1744 0.0086 | 5.6550 0.1300 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.1718 | TEST: 4.1744 0.0076 | 6.0348 0.1376 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.4542
Epoch: 0023 | TRAIN: 4.1744 0.0088 | 2.8608 0.2500 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 118.1921 | VAL: 4.1744 0.0086 | 5.9178 0.1950 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.7897 | TEST: 4.1744 0.0076 | 6.2045 0.2113 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.3223
Epoch: 0024 | TRAIN: 4.1744 0.0080 | 2.6820 0.2904 | 4.1744 0.0179 | 4.1744 0.0164 | Time: 114.3630 | VAL: 4.1744 0.0086 | 6.3337 0.2009 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.6011 | TEST: 4.1744 0.0076 | 6.5043 0.1863 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.3873
Epoch: 0025 | TRAIN: 4.1744 0.0091 | 2.5825 0.3243 | 4.1744 0.0183 | 4.1744 0.0164 | Time: 117.8645 | VAL: 4.1744 0.0086 | 4.5154 0.1974 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 30.9310 | TEST: 4.1744 0.0076 | 4.6137 0.2156 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.2346
Epoch: 0026 | TRAIN: 4.1744 0.0076 | 2.4589 0.3384 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 118.2710 | VAL: 4.1744 0.0086 | 3.8997 0.2600 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 30.7276 | TEST: 4.1744 0.0076 | 3.8571 0.2719 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 32.7689
Epoch: 0027 | TRAIN: 4.1744 0.0076 | 2.3455 0.3735 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 121.5921 | VAL: 4.1744 0.0086 | 4.3265 0.2270 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 30.9167 | TEST: 4.1744 0.0076 | 4.1679 0.2481 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.7545
Epoch: 0028 | TRAIN: 4.1744 0.0088 | 2.1324 0.4158 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 121.8998 | VAL: 4.1744 0.0086 | 3.9738 0.2849 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 29.9680 | TEST: 4.1744 0.0076 | 3.8259 0.3077 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.4256
Epoch: 0029 | TRAIN: 4.1744 0.0088 | 1.9294 0.4470 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 117.1621 | VAL: 4.1744 0.0086 | 3.8057 0.3132 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.0156 | TEST: 4.1744 0.0076 | 3.5971 0.3337 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.3450
Epoch: 0030 | TRAIN: 4.1744 0.0080 | 1.7785 0.5133 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 118.0574 | VAL: 4.1744 0.0086 | 4.8176 0.2577 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 34.2293 | TEST: 4.1744 0.0076 | 4.6784 0.2719 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 30.9706
Epoch: 0031 | TRAIN: 4.1744 0.0095 | 1.6857 0.5312 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 119.9291 | VAL: 4.1744 0.0086 | 3.6173 0.3593 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.8714 | TEST: 4.1744 0.0076 | 3.6032 0.3640 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 31.6260
Epoch: 0032 | TRAIN: 4.1744 0.0072 | 1.5444 0.5595 | 4.1744 0.0183 | 4.1744 0.0179 | Time: 120.2233 | VAL: 4.1744 0.0086 | 3.7382 0.3310 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.3215 | TEST: 4.1744 0.0076 | 3.6322 0.3597 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 31.4490
Epoch: 0033 | TRAIN: 4.1744 0.0091 | 1.3948 0.6021 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 118.2528 | VAL: 4.1744 0.0086 | 3.9163 0.3357 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 32.7969 | TEST: 4.1744 0.0076 | 3.8308 0.3532 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 32.4532
Epoch: 0034 | TRAIN: 4.1744 0.0076 | 1.3015 0.6239 | 4.1744 0.0179 | 4.1744 0.0160 | Time: 121.4847 | VAL: 4.1744 0.0086 | 4.4753 0.3629 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.1915 | TEST: 4.1744 0.0076 | 4.2430 0.3499 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 31.8449
Epoch: 0035 | TRAIN: 4.1744 0.0084 | 1.1697 0.6585 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 117.4026 | VAL: 4.1744 0.0086 | 3.9515 0.3901 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 34.0540 | TEST: 4.1744 0.0076 | 3.9497 0.3922 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.1496
Epoch: 0036 | TRAIN: 4.1744 0.0084 | 1.0766 0.6829 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 118.6445 | VAL: 4.1744 0.0086 | 4.3156 0.3735 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 33.0660 | TEST: 4.1744 0.0076 | 4.2246 0.3911 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.8362
Epoch: 0037 | TRAIN: 4.1744 0.0091 | 1.0055 0.7020 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 116.9611 | VAL: 4.1744 0.0086 | 4.2453 0.3983 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 34.2342 | TEST: 4.1744 0.0076 | 4.1679 0.4117 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.3251
Epoch: 0038 | TRAIN: 4.1744 0.0076 | 0.8727 0.7416 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 116.8045 | VAL: 4.1744 0.0086 | 4.3609 0.3972 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.1654 | TEST: 4.1744 0.0076 | 4.3155 0.3868 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 33.6327
Epoch: 0039 | TRAIN: 4.1744 0.0076 | 0.7507 0.7702 | 4.1744 0.0179 | 4.1744 0.0156 | Time: 118.1892 | VAL: 4.1744 0.0086 | 5.1063 0.3534 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.4975 | TEST: 4.1744 0.0076 | 4.7351 0.3749 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.6358
Epoch: 0040 | TRAIN: 4.1744 0.0091 | 0.7388 0.7668 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 117.0802 | VAL: 4.1744 0.0086 | 4.6779 0.4007 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.2638 | TEST: 4.1744 0.0076 | 4.6019 0.4030 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 32.9227
