========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
ITL Configuration:
	weighting: ITL
	task_idx: 0
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-06
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0015 | TRAIN: 0.0188 0.9928 | 4.1744 0.0198 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 122.8012 | VAL: 2.6132 0.4989 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.1829 | TEST: 2.7071 0.4953 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.9476
Epoch: 0016 | TRAIN: 0.0154 0.9943 | 4.1744 0.0152 | 4.1744 0.0183 | 4.1744 0.0152 | Time: 123.0159 | VAL: 2.5583 0.4903 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.1199 | TEST: 2.6933 0.4877 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.1043
Epoch: 0017 | TRAIN: 0.0149 0.9935 | 4.1744 0.0183 | 4.1744 0.0179 | 4.1744 0.0175 | Time: 123.8896 | VAL: 2.5790 0.4989 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.9038 | TEST: 2.7188 0.4915 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.3618
Epoch: 0018 | TRAIN: 0.0153 0.9928 | 4.1744 0.0175 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 124.7288 | VAL: 2.5461 0.5011 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.3741 | TEST: 2.6740 0.4896 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.1536
Epoch: 0019 | TRAIN: 0.0107 0.9950 | 4.1744 0.0168 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 123.3266 | VAL: 2.5204 0.4968 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.6335 | TEST: 2.6582 0.4915 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.4173
Epoch: 0020 | TRAIN: 0.0157 0.9916 | 4.1744 0.0183 | 4.1744 0.0183 | 4.1744 0.0168 | Time: 123.2786 | VAL: 2.5162 0.5011 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.2011 | TEST: 2.6391 0.4896 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.6516
Epoch: 0021 | TRAIN: 0.0124 0.9931 | 4.1744 0.0194 | 4.1744 0.0179 | 4.1744 0.0164 | Time: 123.5832 | VAL: 2.5460 0.5011 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.7095 | TEST: 2.6824 0.4858 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.4100
Epoch: 0022 | TRAIN: 0.0125 0.9935 | 4.1744 0.0179 | 4.1744 0.0183 | 4.1744 0.0160 | Time: 124.2723 | VAL: 2.5104 0.5075 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.4068 | TEST: 2.6634 0.4877 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.9519
Epoch: 0023 | TRAIN: 0.0113 0.9935 | 4.1744 0.0175 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 123.4318 | VAL: 2.5096 0.5054 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.3048 | TEST: 2.6108 0.4934 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.5089
Epoch: 0024 | TRAIN: 0.0123 0.9931 | 4.1744 0.0171 | 4.1744 0.0179 | 4.1744 0.0164 | Time: 121.0300 | VAL: 2.5255 0.4925 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.6894 | TEST: 2.6595 0.4877 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.2429
