========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 0.1
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0018 | TRAIN: 0.0439 0.9874 | 0.0066 0.9985 | 0.0094 0.9988 | Time: 122.5220 | VAL: 1.0521 0.7862 | 0.1456 0.9551 | 0.2644 0.9396 | Time: 2.4916 | TEST: 1.0372 0.7692 | 0.2453 0.9344 | 0.1656 0.9556 | Time: 2.9556
Epoch: 0019 | TRAIN: 0.0283 0.9937 | 0.0028 0.9994 | 0.0050 0.9994 | Time: 121.7099 | VAL: 1.2845 0.7355 | 0.0669 0.9775 | 0.2560 0.9262 | Time: 2.5382 | TEST: 1.2429 0.7453 | 0.2264 0.9426 | 0.1842 0.9500 | Time: 2.9787
Epoch: 0020 | TRAIN: 0.0663 0.9811 | 0.0114 0.9979 | 0.0201 0.9940 | Time: 121.6871 | VAL: 1.3410 0.6866 | 0.1829 0.9438 | 0.2279 0.9396 | Time: 2.5442 | TEST: 1.4434 0.6581 | 0.1833 0.9344 | 0.2453 0.9333 | Time: 3.1133
Epoch: 0021 | TRAIN: 0.0386 0.9895 | 0.0070 0.9991 | 0.0190 0.9946 | Time: 121.4295 | VAL: 1.2186 0.7319 | 0.1509 0.9326 | 0.1965 0.9597 | Time: 2.4557 | TEST: 1.2261 0.7299 | 0.2249 0.9180 | 0.2847 0.9278 | Time: 3.0025
Epoch: 0022 | TRAIN: 0.0529 0.9847 | 0.0029 1.0000 | 0.0047 0.9991 | Time: 122.1493 | VAL: 1.1629 0.7572 | 0.1810 0.9326 | 0.1586 0.9664 | Time: 2.5423 | TEST: 1.1369 0.7556 | 0.0835 0.9754 | 0.2095 0.9333 | Time: 2.9925
Epoch: 0023 | TRAIN: 0.0565 0.9838 | 0.0023 0.9997 | 0.0054 0.9985 | Time: 122.3731 | VAL: 3.0776 0.4475 | 0.2058 0.9438 | 0.5017 0.8926 | Time: 2.5585 | TEST: 3.2485 0.4239 | 0.3134 0.9180 | 0.4110 0.9056 | Time: 3.0735
Epoch: 0024 | TRAIN: 0.0638 0.9823 | 0.0044 0.9991 | 0.0062 0.9979 | Time: 122.1900 | VAL: 1.1394 0.7536 | 0.2203 0.9438 | 0.1886 0.9329 | Time: 2.5504 | TEST: 1.0246 0.7556 | 0.3763 0.9016 | 0.1920 0.9444 | Time: 3.0415
Epoch: 0025 | TRAIN: 0.0233 0.9934 | 0.0011 1.0000 | 0.0021 0.9997 | Time: 121.7094 | VAL: 1.1251 0.7482 | 0.1060 0.9775 | 0.1309 0.9664 | Time: 2.5431 | TEST: 1.0750 0.7419 | 0.2582 0.9508 | 0.1965 0.9500 | Time: 2.9217
Epoch: 0026 | TRAIN: 0.0310 0.9949 | 0.0019 0.9997 | 0.0046 0.9994 | Time: 123.2649 | VAL: 1.2719 0.7699 | 0.1664 0.9663 | 0.1927 0.9463 | Time: 2.5696 | TEST: 1.0608 0.7795 | 0.2958 0.9426 | 0.2006 0.9444 | Time: 2.9480
Epoch: 0027 | TRAIN: 0.0418 0.9889 | 0.0020 1.0000 | 0.0062 0.9988 | Time: 122.3244 | VAL: 1.2865 0.7120 | 0.0824 0.9775 | 0.1497 0.9664 | Time: 2.5749 | TEST: 1.2105 0.7265 | 0.1673 0.9426 | 0.1128 0.9667 | Time: 2.9233
