========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 1.0
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0018 | TRAIN: 0.0017 1.0000 | 0.0004 1.0000 | 0.0005 1.0000 | Time: 116.7333 | VAL: 0.9622 0.7844 | 0.0621 0.9888 | 0.1219 0.9597 | Time: 2.3757 | TEST: 0.8821 0.8000 | 0.1746 0.9426 | 0.1133 0.9722 | Time: 2.8323
Epoch: 0019 | TRAIN: 0.0022 0.9997 | 0.0004 1.0000 | 0.0004 1.0000 | Time: 116.7739 | VAL: 0.9941 0.7844 | 0.0789 0.9775 | 0.1322 0.9597 | Time: 2.3773 | TEST: 0.8630 0.8000 | 0.1503 0.9508 | 0.1016 0.9778 | Time: 2.8445
Epoch: 0020 | TRAIN: 0.0010 1.0000 | 0.0003 1.0000 | 0.0003 1.0000 | Time: 117.1129 | VAL: 0.9834 0.7862 | 0.0358 0.9888 | 0.1171 0.9732 | Time: 2.3926 | TEST: 0.8767 0.7932 | 0.1116 0.9590 | 0.0980 0.9778 | Time: 2.8487
Epoch: 0021 | TRAIN: 0.0008 1.0000 | 0.0003 1.0000 | 0.0004 1.0000 | Time: 116.7229 | VAL: 0.9948 0.7971 | 0.0388 0.9888 | 0.1056 0.9597 | Time: 2.4203 | TEST: 0.9305 0.7897 | 0.1360 0.9672 | 0.0939 0.9722 | Time: 2.8713
Epoch: 0022 | TRAIN: 0.0006 1.0000 | 0.0003 1.0000 | 0.0003 1.0000 | Time: 116.3702 | VAL: 0.9750 0.7880 | 0.0298 0.9888 | 0.1167 0.9597 | Time: 2.3743 | TEST: 0.8848 0.7966 | 0.1298 0.9672 | 0.1082 0.9722 | Time: 2.8286
Epoch: 0023 | TRAIN: 0.0005 1.0000 | 0.0002 1.0000 | 0.0002 1.0000 | Time: 116.1722 | VAL: 0.9483 0.7953 | 0.0318 0.9888 | 0.1631 0.9530 | Time: 2.4019 | TEST: 0.8622 0.7949 | 0.1379 0.9672 | 0.1056 0.9722 | Time: 2.8709
Epoch: 0024 | TRAIN: 0.0004 1.0000 | 0.0002 1.0000 | 0.0002 1.0000 | Time: 116.5204 | VAL: 0.9456 0.7917 | 0.0254 1.0000 | 0.1562 0.9463 | Time: 2.4259 | TEST: 0.8563 0.7932 | 0.1346 0.9672 | 0.1108 0.9722 | Time: 2.8824
Epoch: 0025 | TRAIN: 0.0003 1.0000 | 0.0002 1.0000 | 0.0002 1.0000 | Time: 116.4269 | VAL: 0.9412 0.7935 | 0.0144 1.0000 | 0.1386 0.9530 | Time: 2.4270 | TEST: 0.8576 0.7949 | 0.1168 0.9672 | 0.1080 0.9722 | Time: 2.8697
Epoch: 0026 | TRAIN: 0.0003 1.0000 | 0.0002 1.0000 | 0.0002 1.0000 | Time: 116.3394 | VAL: 0.9127 0.7899 | 0.0229 1.0000 | 0.1273 0.9732 | Time: 2.4026 | TEST: 0.8420 0.8017 | 0.1313 0.9672 | 0.0982 0.9722 | Time: 2.8621
Epoch: 0027 | TRAIN: 0.0003 1.0000 | 0.0001 1.0000 | 0.0002 1.0000 | Time: 116.8950 | VAL: 0.9168 0.8007 | 0.0153 1.0000 | 0.1312 0.9664 | Time: 2.3831 | TEST: 0.8421 0.8034 | 0.1158 0.9672 | 0.0970 0.9778 | Time: 2.8348
Epoch: 0028 | TRAIN: 0.0003 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.1630 | VAL: 0.9235 0.7917 | 0.0166 1.0000 | 0.1192 0.9732 | Time: 2.3803 | TEST: 0.8428 0.8034 | 0.1210 0.9672 | 0.0965 0.9722 | Time: 2.8294
Epoch: 0029 | TRAIN: 0.0003 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.0975 | VAL: 0.9261 0.7917 | 0.0203 1.0000 | 0.1313 0.9664 | Time: 2.3923 | TEST: 0.8444 0.7966 | 0.1260 0.9672 | 0.0999 0.9722 | Time: 2.8425
Epoch: 0030 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.1098 | VAL: 0.9423 0.7880 | 0.0155 1.0000 | 0.1224 0.9664 | Time: 2.4097 | TEST: 0.8583 0.7949 | 0.1181 0.9672 | 0.1032 0.9722 | Time: 2.8344
Epoch: 0031 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.0314 | VAL: 0.9232 0.7880 | 0.0131 1.0000 | 0.1147 0.9664 | Time: 2.4023 | TEST: 0.8368 0.8051 | 0.1104 0.9672 | 0.0923 0.9778 | Time: 2.8821
Epoch: 0032 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.4728 | VAL: 0.9084 0.7953 | 0.0207 1.0000 | 0.1225 0.9664 | Time: 2.4037 | TEST: 0.8186 0.8017 | 0.1120 0.9672 | 0.0891 0.9778 | Time: 2.8744
Epoch: 0033 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.3546 | VAL: 0.8986 0.7989 | 0.0120 1.0000 | 0.1119 0.9732 | Time: 2.4191 | TEST: 0.8154 0.8034 | 0.1057 0.9672 | 0.0867 0.9778 | Time: 2.8949
Epoch: 0034 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.6333 | VAL: 0.9028 0.7971 | 0.0101 1.0000 | 0.1201 0.9664 | Time: 2.4241 | TEST: 0.8160 0.8068 | 0.1031 0.9590 | 0.0938 0.9722 | Time: 2.8761
Epoch: 0035 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.8645 | VAL: 0.9167 0.7917 | 0.0116 1.0000 | 0.1340 0.9597 | Time: 2.4264 | TEST: 0.8280 0.8000 | 0.1036 0.9590 | 0.0890 0.9722 | Time: 2.8790
Epoch: 0036 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.8747 | VAL: 0.8957 0.7971 | 0.0137 1.0000 | 0.1216 0.9664 | Time: 2.4122 | TEST: 0.8107 0.8103 | 0.1148 0.9672 | 0.0766 0.9833 | Time: 2.8451
Epoch: 0037 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 115.8720 | VAL: 0.9001 0.7953 | 0.0159 1.0000 | 0.1240 0.9597 | Time: 2.3647 | TEST: 0.8168 0.8120 | 0.1114 0.9672 | 0.0815 0.9778 | Time: 2.8706
Epoch: 0038 | TRAIN: 0.0001 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.4767 | VAL: 0.9079 0.7953 | 0.0107 1.0000 | 0.1191 0.9732 | Time: 2.3905 | TEST: 0.8181 0.8120 | 0.1057 0.9590 | 0.0806 0.9778 | Time: 2.8213
Epoch: 0039 | TRAIN: 0.0001 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.6669 | VAL: 0.9055 0.7989 | 0.0158 1.0000 | 0.1310 0.9597 | Time: 2.4258 | TEST: 0.8157 0.8051 | 0.1122 0.9672 | 0.0839 0.9778 | Time: 2.8758
Epoch: 0040 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 115.8682 | VAL: 0.9018 0.7935 | 0.0106 1.0000 | 0.1266 0.9732 | Time: 2.4292 | TEST: 0.8114 0.8085 | 0.1032 0.9672 | 0.0758 0.9778 | Time: 2.8732
Epoch: 0041 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.0684 | VAL: 0.9085 0.7953 | 0.0106 1.0000 | 0.1330 0.9530 | Time: 2.4015 | TEST: 0.8235 0.8068 | 0.1016 0.9672 | 0.0851 0.9778 | Time: 2.8943
Epoch: 0042 | TRAIN: 0.0002 1.0000 | 0.0001 1.0000 | 0.0001 1.0000 | Time: 116.8172 | VAL: 0.9060 0.7989 | 0.0124 1.0000 | 0.1283 0.9664 | Time: 2.4079 | TEST: 0.8218 0.8085 | 0.1099 0.9672 | 0.0911 0.9722 | Time: 2.8648
