========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 0.1
	gamma_moco: 1.0
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0018 | TRAIN: 2.9223 0.1881 | 1.6342 0.4507 | 1.7183 0.4405 | Time: 39.9216 | VAL: 3.8875 0.0942 | 9.6850 0.1236 | 2.4337 0.3423 | Time: 2.4139 | TEST: 3.8308 0.0991 | 8.7662 0.1393 | 2.5064 0.3278 | Time: 2.8448
Epoch: 0019 | TRAIN: 2.9700 0.1713 | 1.6918 0.4531 | 1.8092 0.4087 | Time: 40.0693 | VAL: 4.3854 0.0580 | 5.6843 0.1124 | 2.6023 0.2349 | Time: 2.4397 | TEST: 4.2696 0.0667 | 5.5291 0.0738 | 2.7823 0.2167 | Time: 2.8516
Epoch: 0020 | TRAIN: 2.8915 0.1905 | 1.5466 0.4922 | 1.7079 0.4321 | Time: 39.7843 | VAL: 3.9234 0.1196 | 6.1835 0.0674 | 1.8902 0.4228 | Time: 2.4532 | TEST: 3.9568 0.1248 | 5.7995 0.1148 | 1.9108 0.4500 | Time: 2.9137
Epoch: 0021 | TRAIN: 2.8160 0.2037 | 1.3819 0.5120 | 1.5873 0.4669 | Time: 39.7041 | VAL: 3.5987 0.1232 | 5.9869 0.1124 | 1.8264 0.4295 | Time: 2.4576 | TEST: 3.5186 0.1556 | 5.7023 0.0902 | 1.9122 0.4778 | Time: 2.9151
Epoch: 0022 | TRAIN: 2.8446 0.2037 | 1.4172 0.5168 | 1.5403 0.4898 | Time: 39.2502 | VAL: 3.6567 0.1178 | 8.8353 0.1573 | 2.1207 0.4295 | Time: 2.3744 | TEST: 3.6221 0.1197 | 8.0785 0.0902 | 2.4517 0.3833 | Time: 2.8272
Epoch: 0023 | TRAIN: 2.8037 0.2133 | 1.4287 0.4940 | 1.4854 0.5066 | Time: 39.2803 | VAL: 3.9063 0.1033 | 6.9528 0.1910 | 1.9818 0.4228 | Time: 2.3792 | TEST: 3.7831 0.1214 | 6.4253 0.1557 | 2.1528 0.4333 | Time: 2.7724
Epoch: 0024 | TRAIN: 2.7821 0.2139 | 1.3852 0.5294 | 1.4836 0.5102 | Time: 39.3961 | VAL: 3.6496 0.1232 | 5.8496 0.2247 | 2.0515 0.3758 | Time: 2.3762 | TEST: 3.5722 0.1214 | 5.5870 0.1885 | 2.1816 0.3778 | Time: 2.7849
Epoch: 0025 | TRAIN: 2.7447 0.2212 | 1.2682 0.5643 | 1.5121 0.5012 | Time: 39.3959 | VAL: 4.3249 0.1141 | 6.7090 0.1011 | 1.7270 0.4497 | Time: 2.4056 | TEST: 4.2701 0.1265 | 5.8075 0.1557 | 1.8259 0.4500 | Time: 2.8037
Epoch: 0026 | TRAIN: 2.8077 0.2085 | 1.2822 0.5475 | 1.3523 0.5445 | Time: 39.5009 | VAL: 3.8588 0.1014 | 6.0837 0.1348 | 2.0474 0.3960 | Time: 2.4194 | TEST: 3.8266 0.1026 | 5.9572 0.1230 | 2.3027 0.3500 | Time: 2.8510
Epoch: 0027 | TRAIN: 2.7249 0.2326 | 1.1765 0.6016 | 1.3919 0.5312 | Time: 39.4159 | VAL: 3.7946 0.1630 | 5.0013 0.2022 | 1.7937 0.4832 | Time: 2.3958 | TEST: 3.7736 0.1624 | 4.8674 0.1721 | 1.8329 0.4611 | Time: 2.8566
Epoch: 0028 | TRAIN: 2.7272 0.2338 | 1.1919 0.5829 | 1.3061 0.5535 | Time: 39.1658 | VAL: 4.7065 0.1304 | 7.9129 0.0899 | 2.0810 0.3826 | Time: 2.3862 | TEST: 4.6260 0.1333 | 7.4263 0.0984 | 2.0949 0.4000 | Time: 2.7909
Epoch: 0029 | TRAIN: 2.6975 0.2380 | 1.1061 0.6070 | 1.2776 0.5595 | Time: 39.4712 | VAL: 3.8500 0.1522 | 7.7603 0.2360 | 1.8167 0.4698 | Time: 2.3781 | TEST: 3.7514 0.1487 | 6.9409 0.2213 | 1.8063 0.4389 | Time: 2.8887
Epoch: 0030 | TRAIN: 2.6998 0.2218 | 1.1582 0.6094 | 1.3427 0.5463 | Time: 39.3363 | VAL: 4.2987 0.1069 | 5.2944 0.2360 | 1.8678 0.3893 | Time: 2.4050 | TEST: 4.1684 0.1162 | 5.1457 0.2459 | 1.8773 0.4444 | Time: 2.8439
Epoch: 0031 | TRAIN: 2.6893 0.2344 | 1.1185 0.6184 | 1.2861 0.5697 | Time: 39.4942 | VAL: 4.1896 0.1431 | 5.9193 0.1461 | 1.8234 0.4228 | Time: 2.3954 | TEST: 4.0081 0.1487 | 5.4219 0.1393 | 1.8968 0.4556 | Time: 2.9403
Epoch: 0032 | TRAIN: 2.6439 0.2416 | 0.8854 0.6887 | 1.1768 0.6094 | Time: 39.3067 | VAL: 5.2121 0.1304 | 8.2699 0.0899 | 2.0292 0.4698 | Time: 2.3697 | TEST: 5.0438 0.1487 | 7.6875 0.1230 | 2.1006 0.4167 | Time: 2.8403
Epoch: 0033 | TRAIN: 2.6402 0.2524 | 0.8533 0.7025 | 1.0580 0.6376 | Time: 39.2368 | VAL: 5.5882 0.1449 | 5.5187 0.2472 | 1.8904 0.4765 | Time: 2.4232 | TEST: 5.5191 0.1419 | 5.0967 0.2295 | 1.6905 0.5000 | Time: 2.8964
Epoch: 0034 | TRAIN: 2.6617 0.2452 | 0.8383 0.7175 | 1.1007 0.6364 | Time: 39.4226 | VAL: 4.5935 0.1649 | 9.1159 0.1348 | 2.2719 0.4698 | Time: 2.3876 | TEST: 4.5869 0.1453 | 8.4886 0.1230 | 2.3165 0.4444 | Time: 2.8659
Epoch: 0035 | TRAIN: 2.6410 0.2464 | 0.9248 0.6779 | 1.1486 0.6034 | Time: 39.4534 | VAL: 4.6538 0.1377 | 7.7684 0.1461 | 1.9455 0.4698 | Time: 2.3870 | TEST: 4.5027 0.1299 | 7.1544 0.1393 | 1.9539 0.4611 | Time: 2.8741
Epoch: 0036 | TRAIN: 2.6381 0.2506 | 0.8411 0.7037 | 1.0223 0.6382 | Time: 39.2233 | VAL: 5.6362 0.1196 | 7.0493 0.1685 | 1.9869 0.4564 | Time: 2.4137 | TEST: 5.5435 0.1316 | 6.3087 0.2459 | 2.0199 0.4389 | Time: 2.8847
Epoch: 0037 | TRAIN: 2.5442 0.2686 | 0.7970 0.7224 | 1.0105 0.6424 | Time: 39.4472 | VAL: 3.6837 0.2065 | 7.0196 0.1798 | 1.7451 0.4899 | Time: 2.4028 | TEST: 3.5186 0.1795 | 6.4305 0.1967 | 1.7351 0.5111 | Time: 2.8714
Epoch: 0038 | TRAIN: 2.5427 0.2776 | 0.8458 0.6929 | 1.0754 0.6556 | Time: 39.3994 | VAL: 4.8420 0.1630 | 9.5635 0.1236 | 2.0938 0.4564 | Time: 2.3914 | TEST: 4.7502 0.1470 | 9.5599 0.1393 | 2.0694 0.4500 | Time: 2.8853
Epoch: 0039 | TRAIN: 2.5958 0.2584 | 0.8401 0.7109 | 1.0240 0.6460 | Time: 39.3373 | VAL: 5.3140 0.1884 | 7.2715 0.2022 | 2.1028 0.4698 | Time: 2.3652 | TEST: 5.4087 0.1692 | 6.8708 0.1311 | 2.1042 0.4833 | Time: 2.8613
