========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.1
	rho_moco: 0.01
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0018 | TRAIN: 1.8418 0.7067 | 0.5961 1.0000 | 0.4038 0.9988 | Time: 39.9070 | VAL: 1.9947 0.7029 | 1.1789 0.9775 | 0.9685 0.9463 | Time: 2.4213 | TEST: 1.9938 0.6940 | 1.2713 0.9098 | 1.0713 0.9278 | Time: 2.8842
Epoch: 0019 | TRAIN: 1.7496 0.7278 | 0.5756 0.9994 | 0.3801 1.0000 | Time: 40.1423 | VAL: 1.9318 0.7174 | 1.1418 0.9775 | 0.9395 0.9530 | Time: 2.4348 | TEST: 1.9319 0.7026 | 1.2373 0.9180 | 1.0459 0.9389 | Time: 2.8924
Epoch: 0020 | TRAIN: 1.6967 0.7452 | 0.5233 1.0000 | 0.3512 0.9994 | Time: 39.9825 | VAL: 1.8842 0.7228 | 1.1224 0.9775 | 0.9195 0.9664 | Time: 2.3938 | TEST: 1.8800 0.7111 | 1.2217 0.9180 | 1.0198 0.9444 | Time: 2.8774
Epoch: 0021 | TRAIN: 1.6261 0.7506 | 0.4917 0.9994 | 0.3291 1.0000 | Time: 39.6172 | VAL: 1.8353 0.7337 | 1.0934 0.9775 | 0.9024 0.9597 | Time: 2.4077 | TEST: 1.8316 0.7179 | 1.2000 0.9098 | 1.0040 0.9389 | Time: 2.8532
Epoch: 0022 | TRAIN: 1.5635 0.7764 | 0.4642 1.0000 | 0.3057 1.0000 | Time: 39.3411 | VAL: 1.7763 0.7446 | 1.0657 0.9663 | 0.8861 0.9664 | Time: 2.3852 | TEST: 1.7745 0.7231 | 1.1733 0.9344 | 0.9897 0.9389 | Time: 2.8454
Epoch: 0023 | TRAIN: 1.4991 0.7825 | 0.4471 1.0000 | 0.2939 1.0000 | Time: 39.5053 | VAL: 1.7230 0.7500 | 1.0398 0.9775 | 0.8809 0.9664 | Time: 2.4351 | TEST: 1.7186 0.7299 | 1.1491 0.9180 | 0.9830 0.9389 | Time: 2.8798
Epoch: 0024 | TRAIN: 1.4137 0.8089 | 0.4130 1.0000 | 0.2797 1.0000 | Time: 39.4145 | VAL: 1.6663 0.7572 | 1.0050 0.9775 | 0.8613 0.9664 | Time: 2.3803 | TEST: 1.6629 0.7538 | 1.1113 0.9344 | 0.9664 0.9500 | Time: 2.8715
Epoch: 0025 | TRAIN: 1.3556 0.8155 | 0.3841 1.0000 | 0.2741 1.0000 | Time: 39.4866 | VAL: 1.6203 0.7609 | 0.9814 0.9775 | 0.8527 0.9597 | Time: 2.3943 | TEST: 1.6158 0.7607 | 1.0857 0.9344 | 0.9573 0.9500 | Time: 2.8323
Epoch: 0026 | TRAIN: 1.3075 0.8221 | 0.3712 1.0000 | 0.2635 1.0000 | Time: 39.4430 | VAL: 1.5790 0.7627 | 0.9605 0.9775 | 0.8318 0.9664 | Time: 2.4002 | TEST: 1.5753 0.7641 | 1.0663 0.9262 | 0.9354 0.9500 | Time: 2.8581
Epoch: 0027 | TRAIN: 1.2534 0.8407 | 0.3459 1.0000 | 0.2493 1.0000 | Time: 39.4932 | VAL: 1.5451 0.7627 | 0.9324 0.9888 | 0.8233 0.9732 | Time: 2.3529 | TEST: 1.5423 0.7744 | 1.0425 0.9180 | 0.9298 0.9444 | Time: 2.8379
Epoch: 0028 | TRAIN: 1.2067 0.8480 | 0.3245 1.0000 | 0.2413 1.0000 | Time: 39.8055 | VAL: 1.5131 0.7772 | 0.9257 0.9888 | 0.8063 0.9664 | Time: 2.4137 | TEST: 1.5106 0.7709 | 1.0323 0.9262 | 0.9119 0.9389 | Time: 2.8811
Epoch: 0029 | TRAIN: 1.1795 0.8498 | 0.3100 1.0000 | 0.2267 1.0000 | Time: 39.7655 | VAL: 1.4867 0.7717 | 0.8939 0.9888 | 0.7847 0.9732 | Time: 2.4274 | TEST: 1.4863 0.7744 | 1.0103 0.9262 | 0.8886 0.9444 | Time: 2.8995
Epoch: 0030 | TRAIN: 1.1370 0.8606 | 0.3056 1.0000 | 0.2136 1.0000 | Time: 39.5728 | VAL: 1.4625 0.7808 | 0.8853 0.9888 | 0.7803 0.9732 | Time: 2.3646 | TEST: 1.4596 0.7761 | 0.9965 0.9262 | 0.8825 0.9500 | Time: 2.8253
Epoch: 0031 | TRAIN: 1.1134 0.8666 | 0.2806 1.0000 | 0.2009 1.0000 | Time: 39.7351 | VAL: 1.4460 0.7772 | 0.8636 0.9888 | 0.7594 0.9664 | Time: 2.4424 | TEST: 1.4463 0.7778 | 0.9787 0.9262 | 0.8647 0.9500 | Time: 2.8869
Epoch: 0032 | TRAIN: 1.0853 0.8756 | 0.2701 1.0000 | 0.1937 1.0000 | Time: 39.5002 | VAL: 1.4363 0.7790 | 0.8439 0.9888 | 0.7435 0.9664 | Time: 2.4397 | TEST: 1.4377 0.7778 | 0.9578 0.9262 | 0.8435 0.9611 | Time: 2.8867
Epoch: 0033 | TRAIN: 1.0518 0.8900 | 0.2458 1.0000 | 0.1839 1.0000 | Time: 39.2983 | VAL: 1.4248 0.7808 | 0.8376 0.9888 | 0.7349 0.9732 | Time: 2.3986 | TEST: 1.4250 0.7897 | 0.9472 0.9262 | 0.8413 0.9444 | Time: 2.8457
Epoch: 0034 | TRAIN: 1.0350 0.8852 | 0.2417 1.0000 | 0.1754 1.0000 | Time: 39.3457 | VAL: 1.4192 0.7826 | 0.8148 0.9888 | 0.7227 0.9732 | Time: 2.3919 | TEST: 1.4202 0.7863 | 0.9302 0.9262 | 0.8225 0.9556 | Time: 2.8711
Epoch: 0035 | TRAIN: 1.0182 0.8840 | 0.2295 1.0000 | 0.1639 1.0000 | Time: 39.4287 | VAL: 1.4040 0.7862 | 0.7965 0.9888 | 0.7074 0.9732 | Time: 2.4138 | TEST: 1.4039 0.7966 | 0.9103 0.9344 | 0.8089 0.9556 | Time: 2.8767
Epoch: 0036 | TRAIN: 1.0102 0.8828 | 0.2183 1.0000 | 0.1557 1.0000 | Time: 39.6922 | VAL: 1.4000 0.7917 | 0.7851 0.9888 | 0.6910 0.9732 | Time: 2.4154 | TEST: 1.4000 0.7983 | 0.8989 0.9426 | 0.7929 0.9556 | Time: 2.8467
Epoch: 0037 | TRAIN: 0.9824 0.8924 | 0.2062 1.0000 | 0.1494 1.0000 | Time: 39.2895 | VAL: 1.3818 0.7971 | 0.7679 1.0000 | 0.6764 0.9732 | Time: 2.3969 | TEST: 1.3826 0.7983 | 0.8842 0.9262 | 0.7771 0.9500 | Time: 2.8531
Epoch: 0038 | TRAIN: 0.9562 0.9020 | 0.1978 1.0000 | 0.1475 1.0000 | Time: 39.3944 | VAL: 1.3823 0.7935 | 0.7556 1.0000 | 0.6700 0.9664 | Time: 2.3801 | TEST: 1.3840 0.7932 | 0.8702 0.9426 | 0.7707 0.9556 | Time: 2.8366
Epoch: 0039 | TRAIN: 0.9622 0.9020 | 0.1816 1.0000 | 0.1355 1.0000 | Time: 39.4029 | VAL: 1.3730 0.7971 | 0.7485 0.9888 | 0.6589 0.9732 | Time: 2.4103 | TEST: 1.3754 0.7983 | 0.8647 0.9344 | 0.7619 0.9611 | Time: 2.8506
Epoch: 0040 | TRAIN: 0.9403 0.9008 | 0.1776 1.0000 | 0.1310 1.0000 | Time: 39.5570 | VAL: 1.3709 0.7971 | 0.7285 1.0000 | 0.6409 0.9664 | Time: 2.4164 | TEST: 1.3723 0.8034 | 0.8449 0.9344 | 0.7412 0.9556 | Time: 2.8849
Epoch: 0041 | TRAIN: 0.9359 0.9032 | 0.1688 1.0000 | 0.1265 1.0000 | Time: 39.2716 | VAL: 1.3695 0.7989 | 0.7215 0.9888 | 0.6410 0.9732 | Time: 2.4092 | TEST: 1.3737 0.7983 | 0.8401 0.9344 | 0.7404 0.9556 | Time: 2.8637
Epoch: 0042 | TRAIN: 0.9064 0.9105 | 0.1668 1.0000 | 0.1179 1.0000 | Time: 39.3333 | VAL: 1.3659 0.8025 | 0.7123 0.9888 | 0.6306 0.9664 | Time: 2.4134 | TEST: 1.3700 0.7966 | 0.8286 0.9426 | 0.7245 0.9611 | Time: 2.8628
Epoch: 0043 | TRAIN: 0.9077 0.9044 | 0.1582 1.0000 | 0.1149 1.0000 | Time: 39.4870 | VAL: 1.3593 0.8043 | 0.7094 1.0000 | 0.6165 0.9664 | Time: 2.3580 | TEST: 1.3632 0.8000 | 0.8213 0.9426 | 0.7135 0.9556 | Time: 2.8420
Epoch: 0044 | TRAIN: 0.9039 0.9075 | 0.1475 1.0000 | 0.1075 1.0000 | Time: 39.6202 | VAL: 1.3477 0.8043 | 0.6922 1.0000 | 0.6039 0.9732 | Time: 2.3671 | TEST: 1.3538 0.7983 | 0.8006 0.9426 | 0.6986 0.9556 | Time: 2.8271
Epoch: 0045 | TRAIN: 0.8940 0.9050 | 0.1371 1.0000 | 0.1065 1.0000 | Time: 39.2991 | VAL: 1.3449 0.8062 | 0.6780 1.0000 | 0.6029 0.9664 | Time: 2.3682 | TEST: 1.3508 0.8000 | 0.7931 0.9344 | 0.6967 0.9500 | Time: 2.8643
