========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 1.0
	rho_moco: 0.01
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0018 | TRAIN: 0.1551 0.9633 | 0.0012 1.0000 | 0.0016 1.0000 | Time: 43.0912 | VAL: 0.8595 0.7808 | 0.0258 1.0000 | 0.0542 0.9866 | Time: 2.5010 | TEST: 0.7902 0.7863 | 0.1195 0.9590 | 0.0568 0.9833 | Time: 2.9959
Epoch: 0019 | TRAIN: 0.1241 0.9736 | 0.0011 1.0000 | 0.0014 1.0000 | Time: 43.1659 | VAL: 0.8608 0.7772 | 0.0269 0.9888 | 0.0517 0.9933 | Time: 2.5168 | TEST: 0.7879 0.7915 | 0.1165 0.9590 | 0.0527 0.9833 | Time: 2.9951
Epoch: 0020 | TRAIN: 0.1178 0.9724 | 0.0012 1.0000 | 0.0014 1.0000 | Time: 43.1593 | VAL: 0.8624 0.7826 | 0.0226 1.0000 | 0.0498 0.9866 | Time: 2.5064 | TEST: 0.7876 0.7880 | 0.1173 0.9590 | 0.0503 0.9833 | Time: 3.0821
Epoch: 0021 | TRAIN: 0.1065 0.9838 | 0.0010 1.0000 | 0.0013 1.0000 | Time: 43.7760 | VAL: 0.8607 0.7808 | 0.0246 1.0000 | 0.0520 0.9866 | Time: 3.0968 | TEST: 0.7914 0.7915 | 0.1041 0.9590 | 0.0553 0.9833 | Time: 3.3680
Epoch: 0022 | TRAIN: 0.0934 0.9838 | 0.0010 1.0000 | 0.0010 1.0000 | Time: 43.0165 | VAL: 0.8659 0.7844 | 0.0232 1.0000 | 0.0483 0.9799 | Time: 2.5243 | TEST: 0.7959 0.7983 | 0.1014 0.9590 | 0.0563 0.9778 | Time: 2.9985
Epoch: 0023 | TRAIN: 0.0824 0.9844 | 0.0010 1.0000 | 0.0011 1.0000 | Time: 43.2788 | VAL: 0.8776 0.7790 | 0.0227 1.0000 | 0.0513 0.9799 | Time: 2.5280 | TEST: 0.8071 0.7966 | 0.0999 0.9672 | 0.0542 0.9778 | Time: 3.0537
Epoch: 0024 | TRAIN: 0.0801 0.9862 | 0.0009 1.0000 | 0.0011 1.0000 | Time: 43.1879 | VAL: 0.8733 0.7844 | 0.0187 1.0000 | 0.0462 0.9866 | Time: 2.5271 | TEST: 0.8007 0.8017 | 0.1209 0.9590 | 0.0555 0.9833 | Time: 3.0941
Epoch: 0025 | TRAIN: 0.0668 0.9928 | 0.0009 1.0000 | 0.0009 1.0000 | Time: 43.2612 | VAL: 0.8860 0.7899 | 0.0196 1.0000 | 0.0461 0.9933 | Time: 2.5088 | TEST: 0.8004 0.7966 | 0.1113 0.9672 | 0.0567 0.9833 | Time: 2.9598
Epoch: 0026 | TRAIN: 0.0613 0.9940 | 0.0008 1.0000 | 0.0009 1.0000 | Time: 43.6349 | VAL: 0.8915 0.7862 | 0.0211 1.0000 | 0.0500 0.9799 | Time: 2.5521 | TEST: 0.8015 0.7915 | 0.1165 0.9590 | 0.0607 0.9722 | Time: 3.1183
Epoch: 0027 | TRAIN: 0.0544 0.9928 | 0.0008 1.0000 | 0.0008 1.0000 | Time: 43.0870 | VAL: 0.9006 0.7808 | 0.0182 1.0000 | 0.0474 0.9866 | Time: 2.8433 | TEST: 0.8128 0.7966 | 0.1109 0.9590 | 0.0598 0.9722 | Time: 3.3915
