========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.01
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.01
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.7531 0.0403 | 3.6622 0.0637 | 3.7045 0.0601 | Time: 41.0542 | VAL: 26.0554 0.0362 | 44.8028 0.0112 | 64.1987 0.0671 | Time: 2.4734 | TEST: 26.7240 0.0342 | 44.1519 0.0082 | 70.7523 0.0667 | Time: 2.9944
Epoch: 0001 | TRAIN: 3.7816 0.0451 | 3.2746 0.1016 | 3.2089 0.1334 | Time: 40.4774 | VAL: 7.1205 0.0380 | 3.5813 0.0562 | 3.3479 0.1275 | Time: 2.4420 | TEST: 6.7678 0.0393 | 3.6124 0.1148 | 3.5218 0.1278 | Time: 3.0644
Epoch: 0002 | TRAIN: 3.6230 0.0535 | 2.9645 0.1629 | 2.6544 0.2145 | Time: 41.3558 | VAL: 5.7848 0.0380 | 4.3845 0.0674 | 2.5382 0.2483 | Time: 2.4569 | TEST: 5.4661 0.0393 | 4.4609 0.0574 | 2.5990 0.1833 | Time: 2.9442
Epoch: 0003 | TRAIN: 3.5928 0.0919 | 2.4653 0.2686 | 2.2934 0.2806 | Time: 41.3626 | VAL: 7.8852 0.0290 | 4.9880 0.0562 | 2.7225 0.2483 | Time: 2.9096 | TEST: 7.7271 0.0205 | 5.1644 0.0820 | 2.6294 0.2444 | Time: 3.0320
Epoch: 0004 | TRAIN: 3.4657 0.1046 | 2.0494 0.3389 | 1.9443 0.3870 | Time: 40.1535 | VAL: 9.2094 0.0399 | 4.9543 0.0787 | 2.4861 0.3154 | Time: 2.4429 | TEST: 8.8651 0.0376 | 5.0593 0.0738 | 2.4400 0.2833 | Time: 2.8802
Epoch: 0005 | TRAIN: 3.2595 0.1478 | 1.5456 0.5006 | 1.5438 0.5120 | Time: 40.0255 | VAL: 6.2525 0.0290 | 5.4550 0.1011 | 1.9592 0.4362 | Time: 2.4196 | TEST: 6.2294 0.0342 | 5.4744 0.1148 | 2.0838 0.3833 | Time: 2.8524
Epoch: 0006 | TRAIN: 2.9557 0.2001 | 0.9622 0.6863 | 1.0403 0.6605 | Time: 39.7984 | VAL: 5.0244 0.0688 | 5.9437 0.1348 | 1.5844 0.5436 | Time: 2.4295 | TEST: 5.0059 0.0581 | 6.1394 0.1393 | 1.7242 0.4667 | Time: 2.8782
Epoch: 0007 | TRAIN: 2.7777 0.2542 | 0.7041 0.7710 | 0.7767 0.7440 | Time: 39.7874 | VAL: 4.5067 0.0743 | 6.5512 0.1348 | 1.6686 0.5570 | Time: 2.4625 | TEST: 4.4595 0.0615 | 6.3627 0.1639 | 1.8535 0.4889 | Time: 2.8532
Epoch: 0008 | TRAIN: 2.6457 0.2855 | 0.4497 0.8648 | 0.5779 0.8119 | Time: 39.8122 | VAL: 5.0435 0.0924 | 5.8437 0.1236 | 1.8596 0.5369 | Time: 2.3952 | TEST: 4.9651 0.1009 | 5.3895 0.2213 | 1.9273 0.5056 | Time: 2.8651
Epoch: 0009 | TRAIN: 2.4475 0.3197 | 0.2932 0.9195 | 0.3814 0.8852 | Time: 40.2254 | VAL: 5.1174 0.0634 | 5.9317 0.2135 | 1.3534 0.6711 | Time: 2.5840 | TEST: 5.0279 0.0735 | 5.5274 0.2377 | 1.6136 0.5778 | Time: 2.9157
Epoch: 0010 | TRAIN: 2.3145 0.3606 | 0.2168 0.9417 | 0.2736 0.9159 | Time: 39.9099 | VAL: 6.0199 0.0616 | 6.1836 0.1798 | 1.4862 0.6510 | Time: 2.4497 | TEST: 6.0343 0.0427 | 5.8505 0.1721 | 1.6486 0.5889 | Time: 2.8935
Epoch: 0011 | TRAIN: 2.2610 0.3570 | 0.1736 0.9525 | 0.2356 0.9309 | Time: 39.7935 | VAL: 6.1994 0.0489 | 7.6133 0.0899 | 1.5256 0.6309 | Time: 2.4303 | TEST: 6.1616 0.0393 | 7.2821 0.1557 | 1.7453 0.5444 | Time: 2.8660
Epoch: 0012 | TRAIN: 2.0483 0.4159 | 0.1316 0.9633 | 0.1730 0.9549 | Time: 40.2526 | VAL: 6.1370 0.0489 | 5.8341 0.2247 | 1.3317 0.7181 | Time: 2.4275 | TEST: 6.0878 0.0496 | 5.3977 0.2541 | 1.4997 0.6556 | Time: 2.8950
Epoch: 0013 | TRAIN: 1.9570 0.4273 | 0.0960 0.9760 | 0.1571 0.9537 | Time: 40.2360 | VAL: 5.4943 0.1069 | 6.1746 0.2697 | 1.1142 0.7181 | Time: 2.4401 | TEST: 5.3955 0.0991 | 5.8676 0.3197 | 1.2203 0.7167 | Time: 3.1635
Epoch: 0014 | TRAIN: 1.8562 0.4778 | 0.0795 0.9796 | 0.1232 0.9657 | Time: 40.7318 | VAL: 5.2936 0.0924 | 6.5114 0.1573 | 1.6834 0.6040 | Time: 2.4120 | TEST: 5.2020 0.0667 | 5.9966 0.2213 | 2.0693 0.5833 | Time: 2.8765
Epoch: 0015 | TRAIN: 1.7315 0.4856 | 0.0529 0.9910 | 0.0700 0.9844 | Time: 40.4044 | VAL: 5.6670 0.0870 | 7.2475 0.2247 | 1.9652 0.6040 | Time: 2.5129 | TEST: 5.4991 0.0632 | 7.2081 0.1721 | 1.9994 0.5056 | Time: 2.9614
Epoch: 0016 | TRAIN: 1.6033 0.5276 | 0.0441 0.9940 | 0.1021 0.9730 | Time: 40.2383 | VAL: 6.2925 0.0688 | 6.9798 0.1910 | 1.4559 0.7114 | Time: 2.4922 | TEST: 6.2089 0.0615 | 6.3261 0.2295 | 1.4673 0.6722 | Time: 2.9275
Epoch: 0017 | TRAIN: 1.5397 0.5469 | 0.0702 0.9808 | 0.0794 0.9796 | Time: 41.0276 | VAL: 5.7489 0.1141 | 4.9193 0.2472 | 1.4483 0.6711 | Time: 2.7771 | TEST: 5.7074 0.1026 | 4.7471 0.2787 | 1.5539 0.6500 | Time: 3.3502
Epoch: 0018 | TRAIN: 1.4484 0.5685 | 0.0593 0.9856 | 0.0766 0.9826 | Time: 43.3760 | VAL: 5.8802 0.1033 | 5.8986 0.1798 | 1.0474 0.7517 | Time: 2.4650 | TEST: 5.7795 0.0991 | 5.8588 0.2131 | 1.4501 0.6889 | Time: 2.8773
Epoch: 0019 | TRAIN: 1.3666 0.5968 | 0.0458 0.9874 | 0.0658 0.9820 | Time: 40.8911 | VAL: 7.7318 0.0688 | 5.8693 0.1798 | 1.2709 0.7315 | Time: 2.4443 | TEST: 7.7961 0.0393 | 5.2102 0.2623 | 1.5685 0.6444 | Time: 2.9153
