========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 1.0
	rho_moco: 0.1
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0018 | TRAIN: 2.6217 0.4129 | 0.3989 1.0000 | 0.5175 0.9982 | Time: 39.6201 | VAL: 2.6816 0.4819 | 0.9739 0.9888 | 1.0540 0.9262 | Time: 2.3962 | TEST: 2.6665 0.5043 | 1.0658 0.9262 | 1.1484 0.9278 | Time: 2.8222
Epoch: 0019 | TRAIN: 2.5619 0.4429 | 0.3828 1.0000 | 0.4843 1.0000 | Time: 39.6424 | VAL: 2.6504 0.5000 | 0.9389 0.9888 | 1.0206 0.9396 | Time: 2.3929 | TEST: 2.6354 0.5214 | 1.0327 0.9180 | 1.1182 0.9278 | Time: 2.8597
Epoch: 0020 | TRAIN: 2.5307 0.4585 | 0.3454 1.0000 | 0.4406 0.9988 | Time: 39.6995 | VAL: 2.6071 0.5326 | 0.9249 0.9888 | 0.9871 0.9329 | Time: 2.4499 | TEST: 2.5899 0.5453 | 1.0212 0.9344 | 1.0784 0.9333 | Time: 2.9046
Epoch: 0021 | TRAIN: 2.4597 0.4934 | 0.3227 1.0000 | 0.4127 0.9994 | Time: 39.6956 | VAL: 2.5474 0.5598 | 0.9010 0.9775 | 0.9652 0.9463 | Time: 2.3997 | TEST: 2.5304 0.5744 | 1.0015 0.9262 | 1.0571 0.9333 | Time: 2.8329
Epoch: 0022 | TRAIN: 2.3850 0.5294 | 0.3029 1.0000 | 0.3811 1.0000 | Time: 39.6059 | VAL: 2.4649 0.5924 | 0.8747 0.9888 | 0.9539 0.9463 | Time: 2.3721 | TEST: 2.4503 0.6000 | 0.9736 0.9344 | 1.0454 0.9444 | Time: 2.8337
Epoch: 0023 | TRAIN: 2.3073 0.5475 | 0.2911 1.0000 | 0.3665 1.0000 | Time: 39.8696 | VAL: 2.3853 0.6141 | 0.8542 1.0000 | 0.9416 0.9664 | Time: 2.4185 | TEST: 2.3713 0.6325 | 0.9546 0.9262 | 1.0332 0.9389 | Time: 2.8660
Epoch: 0024 | TRAIN: 2.1855 0.5968 | 0.2698 1.0000 | 0.3509 1.0000 | Time: 39.7158 | VAL: 2.2831 0.6467 | 0.8253 1.0000 | 0.9250 0.9732 | Time: 2.3910 | TEST: 2.2706 0.6427 | 0.9225 0.9344 | 1.0182 0.9444 | Time: 2.8449
Epoch: 0025 | TRAIN: 2.0608 0.6328 | 0.2542 1.0000 | 0.3479 1.0000 | Time: 39.4816 | VAL: 2.1774 0.6757 | 0.8103 1.0000 | 0.9260 0.9664 | Time: 2.3823 | TEST: 2.1645 0.6735 | 0.9120 0.9344 | 1.0161 0.9389 | Time: 2.8454
Epoch: 0026 | TRAIN: 1.9394 0.6701 | 0.2490 1.0000 | 0.3442 1.0000 | Time: 39.5109 | VAL: 2.0724 0.6848 | 0.7990 1.0000 | 0.9221 0.9732 | Time: 2.4041 | TEST: 2.0632 0.6974 | 0.8978 0.9262 | 1.0133 0.9278 | Time: 2.8394
Epoch: 0027 | TRAIN: 1.8182 0.7043 | 0.2330 1.0000 | 0.3390 1.0000 | Time: 39.6713 | VAL: 1.9708 0.7101 | 0.7752 1.0000 | 0.9303 0.9664 | Time: 2.4367 | TEST: 1.9654 0.7077 | 0.8771 0.9262 | 1.0235 0.9389 | Time: 2.9010
