========================================
General Configuration:
	Wighting: MoCo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoCo Configuration:
	weighting: MoCo
	beta_moco: 1.0
	gamma_moco: 0.01
	rho_moco: 1.0
	moco_gn: none
Optimizer Configuration:
	optim: adam
	lr: 1e-05
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 3.4867 0.0487 | 3.3404 0.0829 | 3.3614 0.0871 | Time: 40.2732 | VAL: 3.3511 0.0670 | 3.1949 0.1236 | 3.1828 0.1745 | Time: 2.4236 | TEST: 3.3131 0.0718 | 3.2039 0.1066 | 3.1668 0.2222 | Time: 2.8531
Epoch: 0001 | TRAIN: 3.2636 0.1046 | 2.9371 0.2188 | 2.9178 0.2566 | Time: 39.7659 | VAL: 3.1540 0.1884 | 2.9394 0.2921 | 2.8821 0.3758 | Time: 2.4130 | TEST: 3.1196 0.2205 | 2.9536 0.3443 | 2.8869 0.3611 | Time: 2.8564
Epoch: 0002 | TRAIN: 3.0480 0.2049 | 2.6108 0.4153 | 2.5625 0.4303 | Time: 39.9814 | VAL: 2.9710 0.2790 | 2.6948 0.4607 | 2.6119 0.4832 | Time: 2.4485 | TEST: 2.9396 0.3248 | 2.7166 0.4590 | 2.6339 0.5278 | Time: 2.8985
Epoch: 0003 | TRAIN: 2.8695 0.2957 | 2.2523 0.6298 | 2.2279 0.6112 | Time: 40.1096 | VAL: 2.8165 0.3804 | 2.4574 0.5730 | 2.3815 0.5839 | Time: 2.4372 | TEST: 2.7873 0.4205 | 2.4819 0.5902 | 2.4156 0.6111 | Time: 2.9024
Epoch: 0004 | TRAIN: 2.6950 0.3858 | 1.9691 0.7764 | 1.9716 0.7266 | Time: 39.9908 | VAL: 2.6847 0.4583 | 2.2405 0.7191 | 2.2030 0.6846 | Time: 2.4231 | TEST: 2.6575 0.4821 | 2.2671 0.6721 | 2.2455 0.6833 | Time: 2.9151
Epoch: 0005 | TRAIN: 2.5693 0.4327 | 1.6900 0.8858 | 1.7529 0.8191 | Time: 39.8300 | VAL: 2.5807 0.5036 | 2.0550 0.7978 | 2.0493 0.7248 | Time: 2.4188 | TEST: 2.5580 0.5316 | 2.0880 0.7705 | 2.0975 0.7389 | Time: 2.8771
Epoch: 0006 | TRAIN: 2.4378 0.5114 | 1.4403 0.9507 | 1.5576 0.8702 | Time: 39.8039 | VAL: 2.4909 0.5580 | 1.8750 0.8427 | 1.9062 0.7852 | Time: 2.4025 | TEST: 2.4694 0.5812 | 1.9139 0.7951 | 1.9610 0.8056 | Time: 2.9005
Epoch: 0007 | TRAIN: 2.3724 0.5174 | 1.2514 0.9790 | 1.4148 0.9075 | Time: 39.5697 | VAL: 2.4089 0.5888 | 1.7102 0.8764 | 1.7738 0.8322 | Time: 2.3815 | TEST: 2.3891 0.6017 | 1.7619 0.8361 | 1.8352 0.8444 | Time: 2.8677
Epoch: 0008 | TRAIN: 2.2386 0.5781 | 1.0675 0.9862 | 1.2407 0.9453 | Time: 39.7183 | VAL: 2.3485 0.6069 | 1.5723 0.8764 | 1.6733 0.8523 | Time: 2.4253 | TEST: 2.3314 0.6171 | 1.6338 0.8689 | 1.7376 0.8500 | Time: 2.8610
Epoch: 0009 | TRAIN: 2.1832 0.5871 | 0.9178 0.9976 | 1.1311 0.9573 | Time: 39.8497 | VAL: 2.2875 0.6268 | 1.4605 0.8876 | 1.5882 0.8591 | Time: 2.4295 | TEST: 2.2719 0.6410 | 1.5233 0.8852 | 1.6592 0.8833 | Time: 2.8902
Epoch: 0010 | TRAIN: 2.1196 0.6286 | 0.7885 0.9982 | 1.0191 0.9700 | Time: 39.8166 | VAL: 2.2479 0.6504 | 1.3368 0.9101 | 1.5146 0.8859 | Time: 2.4336 | TEST: 2.2331 0.6564 | 1.4121 0.9016 | 1.5876 0.8889 | Time: 2.8688
Epoch: 0011 | TRAIN: 2.0635 0.6334 | 0.6751 0.9982 | 0.9286 0.9796 | Time: 39.8855 | VAL: 2.2033 0.6612 | 1.2428 0.9326 | 1.4424 0.8926 | Time: 2.4340 | TEST: 2.1926 0.6735 | 1.3211 0.9180 | 1.5139 0.9056 | Time: 2.8955
Epoch: 0012 | TRAIN: 2.0044 0.6725 | 0.5868 0.9994 | 0.8410 0.9898 | Time: 39.8965 | VAL: 2.1803 0.6630 | 1.1516 0.9438 | 1.3870 0.8926 | Time: 2.4163 | TEST: 2.1695 0.6769 | 1.2398 0.9180 | 1.4656 0.9056 | Time: 2.9066
Epoch: 0013 | TRAIN: 1.9831 0.6857 | 0.4931 0.9994 | 0.7615 0.9922 | Time: 39.8194 | VAL: 2.1501 0.6757 | 1.0747 0.9438 | 1.3416 0.8926 | Time: 2.4293 | TEST: 2.1403 0.6821 | 1.1661 0.9262 | 1.4211 0.9056 | Time: 2.8549
Epoch: 0014 | TRAIN: 1.9373 0.6851 | 0.4353 1.0000 | 0.7056 0.9958 | Time: 39.8747 | VAL: 2.1284 0.6812 | 1.0034 0.9551 | 1.2943 0.9128 | Time: 2.4195 | TEST: 2.1197 0.6855 | 1.0998 0.9262 | 1.3722 0.9056 | Time: 2.8683
Epoch: 0015 | TRAIN: 1.9124 0.7025 | 0.3687 1.0000 | 0.6558 0.9958 | Time: 39.9772 | VAL: 2.1072 0.6775 | 0.9453 0.9551 | 1.2532 0.9128 | Time: 2.4191 | TEST: 2.0998 0.6923 | 1.0389 0.9344 | 1.3322 0.9167 | Time: 2.8826
Epoch: 0016 | TRAIN: 1.9046 0.7043 | 0.3297 1.0000 | 0.6347 0.9970 | Time: 39.8387 | VAL: 2.0853 0.6848 | 0.8860 0.9888 | 1.2180 0.9195 | Time: 2.4209 | TEST: 2.0783 0.6906 | 0.9817 0.9262 | 1.3004 0.9222 | Time: 2.8701
Epoch: 0017 | TRAIN: 1.8759 0.7169 | 0.2873 1.0000 | 0.5852 0.9988 | Time: 39.8923 | VAL: 2.0786 0.6975 | 0.8432 0.9775 | 1.1879 0.9396 | Time: 2.4384 | TEST: 2.0738 0.6906 | 0.9434 0.9262 | 1.2694 0.9278 | Time: 2.8777
Epoch: 0018 | TRAIN: 1.8631 0.7067 | 0.2571 1.0000 | 0.5530 0.9982 | Time: 39.8483 | VAL: 2.0686 0.7047 | 0.8074 0.9888 | 1.1606 0.9463 | Time: 2.4333 | TEST: 2.0651 0.6957 | 0.9063 0.9262 | 1.2450 0.9278 | Time: 2.8750
Epoch: 0019 | TRAIN: 1.8216 0.7218 | 0.2381 1.0000 | 0.5368 0.9994 | Time: 39.8740 | VAL: 2.0543 0.7029 | 0.7674 0.9888 | 1.1410 0.9597 | Time: 2.4060 | TEST: 2.0507 0.6974 | 0.8664 0.9262 | 1.2287 0.9389 | Time: 2.8729
Epoch: 0020 | TRAIN: 1.8164 0.7248 | 0.2084 1.0000 | 0.5046 0.9988 | Time: 39.9180 | VAL: 2.0472 0.6975 | 0.7425 0.9888 | 1.1194 0.9597 | Time: 2.4393 | TEST: 2.0406 0.7026 | 0.8430 0.9262 | 1.2040 0.9333 | Time: 2.8869
Epoch: 0021 | TRAIN: 1.7952 0.7236 | 0.1880 1.0000 | 0.4848 0.9994 | Time: 40.0016 | VAL: 2.0399 0.7083 | 0.7144 0.9888 | 1.1088 0.9664 | Time: 2.4304 | TEST: 2.0356 0.6991 | 0.8173 0.9262 | 1.1949 0.9389 | Time: 2.8835
Epoch: 0022 | TRAIN: 1.7888 0.7284 | 0.1727 1.0000 | 0.4595 1.0000 | Time: 39.9726 | VAL: 2.0331 0.7156 | 0.6907 0.9775 | 1.0928 0.9597 | Time: 2.4263 | TEST: 2.0302 0.7009 | 0.7907 0.9344 | 1.1775 0.9389 | Time: 2.8593
Epoch: 0023 | TRAIN: 1.7854 0.7290 | 0.1654 1.0000 | 0.4421 1.0000 | Time: 39.9939 | VAL: 2.0265 0.7156 | 0.6768 0.9888 | 1.0762 0.9664 | Time: 2.4113 | TEST: 2.0223 0.7060 | 0.7766 0.9262 | 1.1615 0.9444 | Time: 2.8559
Epoch: 0024 | TRAIN: 1.7519 0.7470 | 0.1504 1.0000 | 0.4207 1.0000 | Time: 39.7267 | VAL: 2.0172 0.7156 | 0.6492 1.0000 | 1.0483 0.9664 | Time: 2.4120 | TEST: 2.0130 0.7060 | 0.7465 0.9344 | 1.1355 0.9500 | Time: 2.8494
Epoch: 0025 | TRAIN: 1.7398 0.7410 | 0.1399 1.0000 | 0.4113 0.9994 | Time: 39.8418 | VAL: 2.0088 0.7101 | 0.6342 1.0000 | 1.0374 0.9597 | Time: 2.4482 | TEST: 2.0046 0.7077 | 0.7339 0.9262 | 1.1235 0.9389 | Time: 2.8901
Epoch: 0026 | TRAIN: 1.7328 0.7446 | 0.1350 1.0000 | 0.3958 1.0000 | Time: 39.8791 | VAL: 2.0016 0.7192 | 0.6218 1.0000 | 1.0157 0.9664 | Time: 2.4420 | TEST: 1.9977 0.7111 | 0.7203 0.9262 | 1.1026 0.9389 | Time: 2.9075
Epoch: 0027 | TRAIN: 1.7169 0.7494 | 0.1254 1.0000 | 0.3800 1.0000 | Time: 40.1013 | VAL: 1.9914 0.7174 | 0.5973 1.0000 | 1.0095 0.9664 | Time: 2.4452 | TEST: 1.9889 0.7128 | 0.7011 0.9262 | 1.0967 0.9389 | Time: 2.8876
